Gene stable ID	Gene start (bp)	Gene end (bp)
WBGene00171532	5515564	5515584
WBGene00171533	15399920	15399940
WBGene00171534	14603624	14603644
WBGene00171535	13937507	13937527
WBGene00171536	15005059	15005079
WBGene00171537	15719979	15719999
WBGene00171538	15510104	15510124
WBGene00171539	6163322	6163342
WBGene00171540	16698305	16698325
WBGene00171541	14052275	14052295
WBGene00171542	4935584	4935604
WBGene00171543	14967617	14967637
WBGene00171544	16013417	16013437
WBGene00171545	16218721	16218741
WBGene00171546	14561196	14561216
WBGene00171547	16687493	16687513
WBGene00171548	6021348	6021368
WBGene00171549	5139568	5139588
WBGene00171550	6126062	6126082
WBGene00171551	15686322	15686342
WBGene00171552	5507091	5507111
WBGene00171553	15240512	15240532
WBGene00171554	15856665	15856685
WBGene00171555	5116355	5116375
WBGene00171556	14357808	14357828
WBGene00171557	14970751	14970771
WBGene00171558	14645189	14645209
WBGene00171559	5778321	5778341
WBGene00171560	17066823	17066843
WBGene00171561	15758424	15758444
WBGene00171562	14096584	14096604
WBGene00171563	16123216	16123236
WBGene00171564	16088608	16088628
WBGene00171565	5141553	5141573
WBGene00171566	5614284	5614304
WBGene00171567	4848605	4848625
WBGene00171568	14326526	14326546
WBGene00171569	15772260	15772280
WBGene00171570	16992949	16992969
WBGene00171571	7051457	7051477
WBGene00171572	15002743	15002763
WBGene00171573	16041534	16041554
WBGene00171574	14022515	14022535
WBGene00171575	14720142	14720162
WBGene00171578	14715868	14715888
WBGene00171580	14582601	14582621
WBGene00171581	14517173	14517193
WBGene00171582	17336293	17336313
WBGene00171583	5917518	5917538
WBGene00171584	5449754	5449774
WBGene00171585	14677570	14677590
WBGene00171586	6168222	6168242
WBGene00171587	15356583	15356603
WBGene00171588	16369663	16369683
WBGene00171589	15348291	15348311
WBGene00171590	16872019	16872039
WBGene00171591	5448519	5448539
WBGene00171592	15605264	15605284
WBGene00171593	14975166	14975186
WBGene00171594	13719443	13719463
WBGene00171595	14979890	14979910
WBGene00171596	4850671	4850691
WBGene00171597	14353167	14353187
WBGene00171598	16194720	16194740
WBGene00171599	13864547	13864567
WBGene00171600	14434078	14434098
WBGene00171601	16904912	16904932
WBGene00171602	16001381	16001401
WBGene00171603	5886034	5886054
WBGene00171604	7713341	7713361
WBGene00171605	6041491	6041511
WBGene00171606	14176035	14176055
WBGene00171607	15690661	15690681
WBGene00171608	16915478	16915498
WBGene00171609	14140650	14140670
WBGene00171610	14736365	14736385
WBGene00171611	14037357	14037377
WBGene00171612	16040525	16040545
WBGene00171613	16475545	16475565
WBGene00171614	15486939	15486959
WBGene00171615	16715661	16715681
WBGene00171616	5011861	5011881
WBGene00171617	5559098	5559118
WBGene00171618	16802936	16802956
WBGene00171619	16698434	16698454
WBGene00171620	13860092	13860112
WBGene00171621	13469849	13469869
WBGene00171623	16030588	16030608
WBGene00171624	13937159	13937179
WBGene00171625	5643978	5643998
WBGene00171627	16554842	16554862
WBGene00171628	14668000	14668020
WBGene00171629	4876172	4876192
WBGene00171630	15339840	15339860
WBGene00171631	16274991	16275011
WBGene00171632	14163797	14163817
WBGene00171634	13954817	13954837
WBGene00171635	15412890	15412910
WBGene00171636	16892723	16892743
WBGene00171637	5883385	5883405
WBGene00171638	17449928	17449948
WBGene00171639	6266431	6266451
WBGene00171640	6273861	6273881
WBGene00171641	15789638	15789658
WBGene00171642	15548606	15548626
WBGene00171643	14719219	14719239
WBGene00171644	14307541	14307561
WBGene00171645	13807474	13807494
WBGene00171646	5230591	5230611
WBGene00171647	5445352	5445372
WBGene00171649	6063396	6063416
WBGene00171650	5345574	5345594
WBGene00171651	15251742	15251762
WBGene00171652	6111073	6111093
WBGene00171653	5532913	5532933
WBGene00171654	6399525	6399545
WBGene00171655	15481965	15481985
WBGene00171656	5724546	5724566
WBGene00171657	6656864	6656884
WBGene00171658	14577635	14577655
WBGene00171659	14870437	14870457
WBGene00171660	15630378	15630398
WBGene00171661	16554617	16554637
WBGene00171662	16082943	16082963
WBGene00171664	15406157	15406177
WBGene00171665	16443533	16443553
WBGene00171666	14457941	14457961
WBGene00171667	15832686	15832706
WBGene00171668	16788868	16788888
WBGene00171669	14385119	14385139
WBGene00171670	14603825	14603845
WBGene00171671	16083179	16083199
WBGene00171672	16074339	16074359
WBGene00171673	13759870	13759890
WBGene00171674	15531922	15531942
WBGene00171675	14968547	14968567
WBGene00171677	16089333	16089353
WBGene00171679	6486649	6486669
WBGene00171680	5141920	5141940
WBGene00171681	6305452	6305472
WBGene00171682	16479523	16479543
WBGene00171683	15267154	15267174
WBGene00171684	14919212	14919232
WBGene00171685	4879321	4879341
WBGene00171686	16585196	16585216
WBGene00171688	16196948	16196968
WBGene00171689	16212111	16212131
WBGene00171690	5506214	5506234
WBGene00171691	5819785	5819805
WBGene00171693	15569166	15569186
WBGene00171694	6657393	6657413
WBGene00171695	4887422	4887442
WBGene00171696	16116493	16116513
WBGene00171697	14309640	14309660
WBGene00171698	15338237	15338257
WBGene00171699	14273769	14273789
WBGene00171700	16608322	16608342
WBGene00171701	16729556	16729576
WBGene00171702	16915926	16915946
WBGene00171703	7272195	7272215
WBGene00171704	14805479	14805499
WBGene00171705	16692145	16692165
WBGene00171706	5587313	5587333
WBGene00171707	15074641	15074661
WBGene00171709	16013584	16013604
WBGene00171710	15996086	15996106
WBGene00171712	6624894	6624914
WBGene00171713	13723495	13723515
WBGene00171714	17032002	17032022
WBGene00171715	15296592	15296612
WBGene00171716	15560945	15560965
WBGene00171717	14746506	14746526
WBGene00171719	13934281	13934301
WBGene00171720	14333897	14333917
WBGene00171721	16636116	16636136
WBGene00171722	14382262	14382282
WBGene00171723	5934937	5934957
WBGene00171724	14441334	14441354
WBGene00171725	5449060	5449080
WBGene00171726	14601013	14601033
WBGene00171727	6453655	6453675
WBGene00171728	16900722	16900742
WBGene00171729	13845053	13845073
WBGene00171730	14923224	14923244
WBGene00171731	6480163	6480183
WBGene00171732	14365344	14365364
WBGene00171733	5331408	5331428
WBGene00171734	15762896	15762916
WBGene00171735	15611877	15611897
WBGene00171736	16571750	16571770
WBGene00171737	15328425	15328445
WBGene00171738	16052162	16052182
WBGene00171739	15978086	15978106
WBGene00171740	16899612	16899632
WBGene00171741	13750653	13750673
WBGene00171742	15563820	15563840
WBGene00171743	17176438	17176458
WBGene00171744	6153341	6153361
WBGene00171745	14857848	14857868
WBGene00171746	14873800	14873820
WBGene00171747	16555349	16555369
WBGene00171748	4878121	4878141
WBGene00171749	14139737	14139757
WBGene00171750	5750844	5750864
WBGene00171751	14415135	14415155
WBGene00171752	4874481	4874501
WBGene00171753	5268138	5268158
WBGene00171754	6811718	6811738
WBGene00171755	16476100	16476120
WBGene00171756	14122674	14122694
WBGene00171757	15253088	15253108
WBGene00171758	6466226	6466246
WBGene00171759	15242850	15242870
WBGene00171760	5118824	5118844
WBGene00171761	15243761	15243781
WBGene00171762	4933874	4933894
WBGene00171763	16561500	16561520
WBGene00171764	5640850	5640870
WBGene00171765	14472649	14472669
WBGene00171766	5905971	5905991
WBGene00171767	6679678	6679698
WBGene00171768	15395260	15395280
WBGene00171769	16600111	16600131
WBGene00171770	15677505	15677525
WBGene00171771	16019769	16019789
WBGene00171772	5617116	5617136
WBGene00171773	15086813	15086833
WBGene00171774	16890228	16890248
WBGene00171775	16053371	16053391
WBGene00171776	16359203	16359223
WBGene00171777	14498362	14498382
WBGene00171778	5809006	5809026
WBGene00171779	16253328	16253348
WBGene00171780	6247133	6247153
WBGene00171781	14951907	14951927
WBGene00171782	13698258	13698278
WBGene00171783	14803675	14803695
WBGene00171784	15909473	15909493
WBGene00171785	15805592	15805612
WBGene00171787	16803073	16803093
WBGene00171788	15231847	15231867
WBGene00171789	16600575	16600595
WBGene00171791	14116862	14116882
WBGene00171792	14558931	14558951
WBGene00171793	14307085	14307105
WBGene00171794	15335685	15335705
WBGene00171795	14087030	14087050
WBGene00171796	14507793	14507813
WBGene00171797	4960985	4961005
WBGene00171798	6468590	6468610
WBGene00171799	5080772	5080792
WBGene00171800	15609604	15609624
WBGene00171801	16660514	16660534
WBGene00171802	5584088	5584108
WBGene00171803	15005257	15005277
WBGene00171804	15071836	15071856
WBGene00171805	4838345	4838365
WBGene00171806	6048330	6048350
WBGene00171807	16007416	16007436
WBGene00171809	14450336	14450356
WBGene00171810	14489528	14489548
WBGene00171811	14918994	14919014
WBGene00171812	14604348	14604368
WBGene00171813	14867809	14867829
WBGene00171814	5322875	5322895
WBGene00171815	16587492	16587512
WBGene00171817	14907282	14907302
WBGene00171819	4934977	4934997
WBGene00171820	14398046	14398066
WBGene00171821	15772364	15772384
WBGene00171822	5012954	5012974
WBGene00171823	14618134	14618154
WBGene00171824	16152008	16152028
WBGene00171825	17072294	17072314
WBGene00171826	16683051	16683071
WBGene00171827	16617230	16617250
WBGene00171828	5217224	5217244
WBGene00171829	14282947	14282967
WBGene00171830	14497951	14497971
WBGene00171831	5712379	5712399
WBGene00171832	15966193	15966213
WBGene00171833	14473688	14473708
WBGene00171834	5176686	5176706
WBGene00171835	14129158	14129178
WBGene00171836	14969014	14969034
WBGene00171837	15851809	15851829
WBGene00171838	15351031	15351051
WBGene00171839	16376114	16376134
WBGene00171840	6567897	6567917
WBGene00171841	6058591	6058611
WBGene00171842	17191492	17191512
WBGene00171843	15835629	15835649
WBGene00171844	14646291	14646311
WBGene00171845	15287045	15287065
WBGene00171846	16061690	16061710
WBGene00171847	6285011	6285031
WBGene00171848	6399935	6399955
WBGene00171849	14021098	14021118
WBGene00171850	5419756	5419776
WBGene00171851	15914712	15914732
WBGene00171852	14592574	14592594
WBGene00171853	6145349	6145369
WBGene00171854	13681166	13681186
WBGene00171855	15497443	15497463
WBGene00171856	16598878	16598898
WBGene00171857	14610753	14610773
WBGene00171859	15610509	15610529
WBGene00171860	14672124	14672144
WBGene00171861	13720865	13720885
WBGene00171862	14302833	14302853
WBGene00171863	15393835	15393855
WBGene00171864	15588600	15588620
WBGene00171865	6566801	6566821
WBGene00171866	15731339	15731359
WBGene00171867	14140546	14140566
WBGene00171868	16610380	16610400
WBGene00171869	9677414	9677434
WBGene00171870	15669471	15669491
WBGene00171871	14833201	14833221
WBGene00171872	7284073	7284093
WBGene00171873	15558516	15558536
WBGene00171875	15777448	15777468
WBGene00171876	16557438	16557458
WBGene00171877	5215846	5215866
WBGene00171878	15299495	15299515
WBGene00171879	15914360	15914380
WBGene00171880	17029159	17029179
WBGene00171881	14504071	14504091
WBGene00171882	5607194	5607214
WBGene00171883	16915154	16915174
WBGene00171884	5777485	5777505
WBGene00171885	16334313	16334333
WBGene00171886	14133041	14133061
WBGene00171887	5529098	5529118
WBGene00171888	15683652	15683672
WBGene00171889	14461929	14461949
WBGene00171890	15210746	15210766
WBGene00171891	16583375	16583395
WBGene00171892	14393371	14393391
WBGene00171893	5865480	5865500
WBGene00171894	15262359	15262379
WBGene00171895	5824750	5824770
WBGene00171896	6627103	6627123
WBGene00171897	14891428	14891448
WBGene00171898	14753361	14753381
WBGene00171899	16660371	16660391
WBGene00171900	15956690	15956710
WBGene00171901	16802317	16802337
WBGene00171902	15973744	15973764
WBGene00171903	14471147	14471167
WBGene00171904	13897829	13897849
WBGene00171905	6385861	6385881
WBGene00171906	6092146	6092166
WBGene00171907	14820139	14820159
WBGene00171908	5732994	5733014
WBGene00171909	17475751	17475771
WBGene00171910	6040198	6040218
WBGene00171911	14178506	14178526
WBGene00171912	5201505	5201525
WBGene00171913	15841020	15841040
WBGene00171914	15748931	15748951
WBGene00171915	15573255	15573275
WBGene00171916	13643845	13643865
WBGene00171918	17189720	17189740
WBGene00171919	16550521	16550541
WBGene00171920	16150403	16150423
WBGene00171921	16212392	16212412
WBGene00171922	15249604	15249624
WBGene00171923	5562651	5562671
WBGene00171924	4876062	4876082
WBGene00171925	6596561	6596581
WBGene00171926	14586750	14586770
WBGene00171927	14647039	14647059
WBGene00171928	14855720	14855740
WBGene00171930	14344834	14344854
WBGene00171931	5406261	5406281
WBGene00171932	16838756	16838776
WBGene00171933	5112552	5112572
WBGene00171934	6057497	6057517
WBGene00171936	14495077	14495097
WBGene00171937	14459911	14459931
WBGene00171938	15227772	15227792
WBGene00171939	9562631	9562651
WBGene00171940	5779571	5779591
WBGene00171941	5205574	5205594
WBGene00171942	13896594	13896614
WBGene00171943	16714941	16714961
WBGene00171944	13938574	13938594
WBGene00171945	14243890	14243910
WBGene00171946	5716201	5716221
WBGene00171947	15564190	15564210
WBGene00171948	14241707	14241727
WBGene00171950	14987184	14987204
WBGene00171951	5708358	5708378
WBGene00171952	14608850	14608870
WBGene00171953	14601219	14601239
WBGene00171954	13754037	13754057
WBGene00171955	15624378	15624398
WBGene00171956	15315221	15315241
WBGene00171957	14166146	14166166
WBGene00171958	14010744	14010764
WBGene00171959	15151821	15151841
WBGene00171960	15660303	15660323
WBGene00171961	14535362	14535382
WBGene00171962	16676348	16676368
WBGene00171963	14859174	14859194
WBGene00171964	14368160	14368180
WBGene00171965	16359206	16359226
WBGene00171966	14093198	14093218
WBGene00171967	14943551	14943571
WBGene00171968	5052185	5052205
WBGene00171969	14692401	14692421
WBGene00171970	15094350	15094370
WBGene00171971	16272665	16272685
WBGene00171972	15335561	15335581
WBGene00171973	16807159	16807179
WBGene00171974	14875932	14875952
WBGene00171975	8120183	8120203
WBGene00171976	16546068	16546088
WBGene00171978	6953874	6953894
WBGene00171979	12001030	12001050
WBGene00171980	5529408	5529428
WBGene00171982	13711638	13711658
WBGene00171983	15657154	15657174
WBGene00171986	12927392	12927412
WBGene00171987	15228880	15228900
WBGene00171988	16621494	16621514
WBGene00171989	15300046	15300066
WBGene00171990	14449830	14449850
WBGene00171991	17237460	17237480
WBGene00171992	14437050	14437070
WBGene00171993	15885474	15885494
WBGene00171994	15105838	15105858
WBGene00171995	6016868	6016888
WBGene00171996	15148571	15148591
WBGene00171997	6464141	6464161
WBGene00171998	14310344	14310364
WBGene00171999	14992399	14992419
WBGene00172000	16374146	16374166
WBGene00172001	5504014	5504034
WBGene00172002	13603252	13603272
WBGene00172003	15192024	15192044
WBGene00172004	14093196	14093216
WBGene00172006	14010189	14010209
WBGene00172007	13861017	13861037
WBGene00172008	15890891	15890911
WBGene00172009	16176144	16176164
WBGene00172010	15844998	15845018
WBGene00172011	16991971	16991991
WBGene00172014	14852331	14852351
WBGene00172015	15926832	15926852
WBGene00172017	14971775	14971795
WBGene00172018	5789126	5789146
WBGene00172019	14877479	14877499
WBGene00172020	15366152	15366172
WBGene00172022	14997676	14997696
WBGene00172023	15532090	15532110
WBGene00172024	14430367	14430387
WBGene00172025	5618412	5618432
WBGene00172026	15404490	15404510
WBGene00172027	4834607	4834627
WBGene00172028	15687014	15687034
WBGene00172029	13420966	13420986
WBGene00172030	15566376	15566396
WBGene00172031	15348388	15348408
WBGene00172032	14729978	14729998
WBGene00172033	16270391	16270411
WBGene00172034	15621656	15621676
WBGene00172035	14558648	14558668
WBGene00172036	6394520	6394540
WBGene00172037	15334450	15334470
WBGene00172038	5679194	5679214
WBGene00172039	15794991	15795011
WBGene00172040	14348137	14348157
WBGene00172041	16012620	16012640
WBGene00172042	5593664	5593684
WBGene00172043	16803394	16803414
WBGene00172044	16450140	16450160
WBGene00172045	15902418	15902438
WBGene00172046	14833419	14833439
WBGene00172047	14696262	14696282
WBGene00172049	5881101	5881121
WBGene00172050	16195995	16196015
WBGene00172051	16523889	16523909
WBGene00172052	13698876	13698896
WBGene00172053	16001382	16001402
WBGene00172055	16564375	16564395
WBGene00172057	15789906	15789926
WBGene00172058	16559107	16559127
WBGene00172059	13759389	13759409
WBGene00172060	14273070	14273090
WBGene00172061	14509968	14509988
WBGene00172062	6302304	6302324
WBGene00172063	17195074	17195094
WBGene00172064	13645445	13645465
WBGene00172065	16626862	16626882
WBGene00172066	14129949	14129969
WBGene00172067	14815103	14815123
WBGene00172068	17193514	17193534
WBGene00172069	5377618	5377638
WBGene00172070	15672845	15672865
WBGene00172071	6467643	6467663
WBGene00172072	6651186	6651206
WBGene00172073	5614977	5614997
WBGene00172074	15387750	15387770
WBGene00172075	13874946	13874966
WBGene00172076	6065661	6065681
WBGene00172077	16068960	16068980
WBGene00172078	5925189	5925209
WBGene00172079	15549128	15549148
WBGene00172080	16543431	16543451
WBGene00172081	14539062	14539082
WBGene00172082	15498204	15498224
WBGene00172083	14835307	14835327
WBGene00172084	15714189	15714209
WBGene00172085	14976217	14976237
WBGene00172086	14504494	14504514
WBGene00172087	14096674	14096694
WBGene00172088	13892805	13892825
WBGene00172089	14868264	14868284
WBGene00172090	14008281	14008301
WBGene00172091	16729446	16729466
WBGene00172092	6052936	6052956
WBGene00172094	5034340	5034360
WBGene00172095	5708007	5708027
WBGene00172096	17016974	17016994
WBGene00172097	16790942	16790962
WBGene00172098	6062637	6062657
WBGene00172099	5443322	5443342
WBGene00172100	5682339	5682359
WBGene00172101	13911995	13912015
WBGene00172102	17019157	17019177
WBGene00172103	6153044	6153064
WBGene00172104	16244083	16244103
WBGene00172105	17052153	17052173
WBGene00172106	16436154	16436174
WBGene00172107	15729223	15729243
WBGene00172108	15166097	15166117
WBGene00172109	5560394	5560414
WBGene00172110	15624847	15624867
WBGene00172111	14254994	14255014
WBGene00172112	6807539	6807559
WBGene00172113	15171587	15171607
WBGene00172114	4835460	4835480
WBGene00172115	4840300	4840320
WBGene00172116	6264930	6264950
WBGene00172117	15565349	15565369
WBGene00172118	5791904	5791924
WBGene00172119	16914104	16914124
WBGene00172120	16598684	16598704
WBGene00172121	16045987	16046007
WBGene00172122	16724858	16724878
WBGene00172123	6269340	6269360
WBGene00172124	14886144	14886164
WBGene00172125	14757375	14757395
WBGene00172126	16771340	16771360
WBGene00172127	16527655	16527675
WBGene00172128	14545373	14545393
WBGene00172129	6269608	6269628
WBGene00172130	5438134	5438154
WBGene00172131	13959572	13959592
WBGene00172132	16621396	16621416
WBGene00172133	8103531	8103551
WBGene00172134	14981202	14981222
WBGene00172135	13605809	13605829
WBGene00172136	16476505	16476525
WBGene00172137	15392733	15392753
WBGene00172138	15168859	15168879
WBGene00172139	14723498	14723518
WBGene00172141	16131647	16131667
WBGene00172142	6025487	6025507
WBGene00172143	15725356	15725376
WBGene00172144	17449804	17449824
WBGene00172147	15139181	15139201
WBGene00172148	5734124	5734144
WBGene00172149	15098459	15098479
WBGene00172150	13630322	13630342
WBGene00172151	16113844	16113864
WBGene00172152	14650240	14650260
WBGene00172153	15616409	15616429
WBGene00172154	5807376	5807396
WBGene00172155	16584109	16584129
WBGene00172156	8128167	8128187
WBGene00172157	16678405	16678425
WBGene00172158	14905795	14905815
WBGene00172159	13958228	13958248
WBGene00172160	14351308	14351328
WBGene00172161	16829727	16829747
WBGene00172162	6994914	6994934
WBGene00172163	6184119	6184139
WBGene00172165	15886582	15886602
WBGene00172166	5316375	5316395
WBGene00172167	16087257	16087277
WBGene00172168	16058397	16058417
WBGene00172170	15328355	15328375
WBGene00172171	16477623	16477643
WBGene00172172	14433464	14433484
WBGene00172173	14039590	14039610
WBGene00172174	5807638	5807658
WBGene00172175	13892800	13892820
WBGene00172176	5140762	5140782
WBGene00172177	15540453	15540473
WBGene00172178	6567488	6567508
WBGene00172179	9139760	9139780
WBGene00172180	13807961	13807981
WBGene00172181	5115790	5115810
WBGene00172183	15174579	15174599
WBGene00172184	7195593	7195613
WBGene00172185	16048101	16048121
WBGene00172187	13694373	13694393
WBGene00172188	14462872	14462892
WBGene00172189	14617170	14617190
WBGene00172190	6043583	6043603
WBGene00172192	15113566	15113586
WBGene00172193	13976827	13976847
WBGene00172194	15481312	15481332
WBGene00172195	15397548	15397568
WBGene00172196	14298021	14298041
WBGene00172197	15922229	15922249
WBGene00172198	15722434	15722454
WBGene00172199	16031690	16031710
WBGene00172200	5119323	5119343
WBGene00172201	13934741	13934761
WBGene00172202	15108269	15108289
WBGene00172203	5492830	5492850
WBGene00172205	14544234	14544254
WBGene00172206	6138551	6138571
WBGene00172208	14881082	14881102
WBGene00172209	15842441	15842461
WBGene00172210	15096543	15096563
WBGene00172211	14695187	14695207
WBGene00172212	7328079	7328099
WBGene00172213	5614010	5614030
WBGene00172214	14050258	14050278
WBGene00172215	15280897	15280917
WBGene00172216	5596056	5596076
WBGene00172217	17215037	17215057
WBGene00172218	10278161	10278181
WBGene00172219	15904406	15904426
WBGene00172220	13696759	13696779
WBGene00172221	16199049	16199069
WBGene00172222	16601422	16601442
WBGene00172223	6050517	6050537
WBGene00172224	14053737	14053757
WBGene00172225	6271917	6271937
WBGene00172226	15155213	15155233
WBGene00172227	5970998	5971018
WBGene00172228	15762566	15762586
WBGene00172229	5725878	5725898
WBGene00172231	5019052	5019072
WBGene00172232	14751261	14751281
WBGene00172233	14177588	14177608
WBGene00172234	14649670	14649690
WBGene00172235	7980299	7980319
WBGene00172236	15098663	15098683
WBGene00172237	16066808	16066828
WBGene00172238	15540669	15540689
WBGene00172239	15933996	15934016
WBGene00172240	16710908	16710928
WBGene00172241	16012639	16012659
WBGene00172242	13720039	13720059
WBGene00172243	5741402	5741422
WBGene00172244	6159415	6159435
WBGene00172245	15701903	15701923
WBGene00172246	14577341	14577361
WBGene00172247	15841838	15841858
WBGene00172248	13762513	13762533
WBGene00172249	15269213	15269233
WBGene00172250	5598345	5598365
WBGene00172251	16798835	16798855
WBGene00172252	14994292	14994312
WBGene00172253	15652040	15652060
WBGene00172254	16069570	16069590
WBGene00172255	17210844	17210864
WBGene00172256	16836907	16836927
WBGene00172258	14989419	14989439
WBGene00172259	15441723	15441743
WBGene00172260	15316832	15316852
WBGene00172261	13903062	13903082
WBGene00172262	15338955	15338975
WBGene00172263	6180943	6180963
WBGene00172264	15668856	15668876
WBGene00172265	15933865	15933885
WBGene00172266	6499004	6499024
WBGene00172267	14382465	14382485
WBGene00172269	6093203	6093223
WBGene00172270	6302709	6302729
WBGene00172271	4789336	4789356
WBGene00172272	15490845	15490865
WBGene00172273	5325420	5325440
WBGene00172274	15695227	15695247
WBGene00172276	14349621	14349641
WBGene00172277	6090138	6090158
WBGene00172278	10655670	10655690
WBGene00172279	16554921	16554941
WBGene00172280	16878754	16878774
WBGene00172281	15560944	15560964
WBGene00172282	17233410	17233430
WBGene00172283	15680291	15680311
WBGene00172284	14526061	14526081
WBGene00172285	17357116	17357136
WBGene00172286	15663709	15663729
WBGene00172288	14177805	14177825
WBGene00172289	15063351	15063371
WBGene00172291	13693913	13693933
WBGene00172292	15864062	15864082
WBGene00172293	16901907	16901927
WBGene00172294	16471363	16471383
WBGene00172295	16986548	16986568
WBGene00172296	15697184	15697204
WBGene00172297	17035627	17035647
WBGene00172298	11273770	11273790
WBGene00172299	15537444	15537464
WBGene00172300	15550467	15550487
WBGene00172301	15779976	15779996
WBGene00172302	14542135	14542155
WBGene00172303	14718272	14718292
WBGene00172304	14242307	14242327
WBGene00172305	15253350	15253370
WBGene00172306	16043239	16043259
WBGene00172307	15822476	15822496
WBGene00172309	5968508	5968528
WBGene00172310	15964519	15964539
WBGene00172311	6304549	6304569
WBGene00172312	15116839	15116859
WBGene00172313	4934974	4934994
WBGene00172314	13944438	13944458
WBGene00172316	14606942	14606962
WBGene00172317	15203211	15203231
WBGene00172318	17022167	17022187
WBGene00172319	13707553	13707573
WBGene00172320	6514356	6514376
WBGene00172321	9561990	9562010
WBGene00172322	4863050	4863070
WBGene00172323	15541317	15541337
WBGene00172324	15922951	15922971
WBGene00172325	13660638	13660658
WBGene00172326	15106720	15106740
WBGene00172327	13700706	13700726
WBGene00172328	14712579	14712599
WBGene00172329	15281088	15281108
WBGene00172331	13841463	13841483
WBGene00172332	6066282	6066302
WBGene00172333	15410055	15410075
WBGene00172334	6185666	6185686
WBGene00172335	16272662	16272682
WBGene00172336	16213142	16213162
WBGene00172337	15856842	15856862
WBGene00172338	5348909	5348929
WBGene00172339	6203568	6203588
WBGene00172340	14594832	14594852
WBGene00172342	14508386	14508406
WBGene00172343	15669462	15669482
WBGene00172344	14340460	14340480
WBGene00172345	13998025	13998045
WBGene00172346	14446198	14446218
WBGene00172347	14733651	14733671
WBGene00172348	13690978	13690998
WBGene00172349	13705816	13705836
WBGene00172350	15976791	15976811
WBGene00172351	14160220	14160240
WBGene00172352	16557940	16557960
WBGene00172354	6846400	6846420
WBGene00172355	15772389	15772409
WBGene00172356	15621662	15621682
WBGene00172357	15699226	15699246
WBGene00172358	5603707	5603727
WBGene00172359	15794879	15794899
WBGene00172360	16222409	16222429
WBGene00172361	16111464	16111484
WBGene00172362	4966661	4966681
WBGene00172363	5881608	5881628
WBGene00172364	15356707	15356727
WBGene00172365	16751169	16751189
WBGene00172366	15781119	15781139
WBGene00172367	16745315	16745335
WBGene00172368	14295075	14295095
WBGene00172369	14046293	14046313
WBGene00172370	16057594	16057614
WBGene00172371	4889285	4889305
WBGene00172372	16392739	16392759
WBGene00172373	13944585	13944605
WBGene00172374	15368312	15368332
WBGene00172375	15436627	15436647
WBGene00172376	5283754	5283774
WBGene00172377	5499788	5499808
WBGene00172378	15216971	15216991
WBGene00172380	16029200	16029220
WBGene00172381	14654535	14654555
WBGene00172382	14183013	14183033
WBGene00172383	15348126	15348146
WBGene00172385	14649043	14649063
WBGene00172386	15914714	15914734
WBGene00172387	13979403	13979423
WBGene00172389	13715643	13715663
WBGene00172391	14291760	14291780
WBGene00172392	13765560	13765580
WBGene00172393	14470556	14470576
WBGene00172394	5157758	5157778
WBGene00172395	15868781	15868801
WBGene00172396	15191648	15191668
WBGene00172397	14922930	14922950
WBGene00172398	14734136	14734156
WBGene00172399	5205003	5205023
WBGene00172400	15880634	15880654
WBGene00172402	16258472	16258492
WBGene00172403	5119257	5119277
WBGene00172404	14583798	14583818
WBGene00172405	16556698	16556718
WBGene00172407	15348877	15348897
WBGene00172408	14688234	14688254
WBGene00172409	14603628	14603648
WBGene00172410	5906692	5906712
WBGene00172411	16984813	16984833
WBGene00172413	14352597	14352617
WBGene00172414	6508416	6508436
WBGene00172415	14807890	14807910
WBGene00172416	4894427	4894447
WBGene00172417	7017591	7017611
WBGene00172420	6598924	6598944
WBGene00172421	15395114	15395134
WBGene00172422	14177522	14177542
WBGene00172423	5317829	5317849
WBGene00172424	16698798	16698818
WBGene00172425	15889417	15889437
WBGene00172426	8798869	8798889
WBGene00172428	14191901	14191921
WBGene00172429	16599660	16599680
WBGene00172430	14854263	14854283
WBGene00172431	14316472	14316492
WBGene00172432	5566268	5566288
WBGene00172433	14473295	14473315
WBGene00172434	4888481	4888501
WBGene00172435	5447944	5447964
WBGene00172436	5438901	5438921
WBGene00172437	15546835	15546855
WBGene00172438	16599223	16599243
WBGene00172439	6036182	6036202
WBGene00172440	17037076	17037096
WBGene00172441	14920660	14920680
WBGene00172442	14026578	14026598
WBGene00172443	6207835	6207855
WBGene00172444	16119549	16119569
WBGene00172445	5871000	5871020
WBGene00172446	15312873	15312893
WBGene00172447	16256297	16256317
WBGene00172448	16797970	16797990
WBGene00172449	15235182	15235202
WBGene00172450	6435554	6435574
WBGene00172451	13948887	13948907
WBGene00172452	14009135	14009155
WBGene00172453	5930981	5931001
WBGene00172454	16971070	16971090
WBGene00172455	15855236	15855256
WBGene00172456	14531332	14531352
WBGene00172457	15645569	15645589
WBGene00172458	15695453	15695473
WBGene00172459	13913690	13913710
WBGene00172460	13859916	13859936
WBGene00172462	14718881	14718901
WBGene00172463	13769929	13769949
WBGene00172464	5929097	5929117
WBGene00172465	14515654	14515674
WBGene00172466	15563114	15563134
WBGene00172468	15874410	15874430
WBGene00172469	13906670	13906690
WBGene00172470	14489997	14490017
WBGene00172471	6493142	6493162
WBGene00172472	7055429	7055449
WBGene00172473	16442194	16442214
WBGene00172474	16028763	16028783
WBGene00172475	15179303	15179323
WBGene00172476	14869443	14869463
